"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Direction"
"GO:00075991","GO:0007599","hemostasis","58/2130","125/11776",2.70486827556769e-13,7.12462303784529e-10,6.31657923089149e-10,"Alox12/Vwf/Cd36/Prdx2/Slc4a1/Plek/Itgb3/P2rx1/F2rl2/Anxa7/Dmtn/Pros1/Treml1/Jak2/Fermt3/Ptprj/Pdgfa/Serpine2/F5/Selp/Prkcq/Gnas/Anxa5/P2ry1/Pear1/Pf4/Gp9/Cd9/Gata1/F8/Fundc2/F10/Ubash3b/Pik3cb/Tspan8/Hpse/P2ry12/Rap2b/F11r/F13a1/Ptger3/Thbs1/Lyn/Sh2b3/Gp5/F2r/F2rl3/Gp1ba/Gp1bb/Prkca/Prkg1/Mmrn1/Pla2g4a/Abat/Fcer1g/Ppia/Mpig6b/Gp6",58,"Down"
"GO:00075961","GO:0007596","blood coagulation","57/2130","123/11776",4.63986127002162e-13,8.14759639015797e-10,7.22353138774945e-10,"Alox12/Vwf/Cd36/Prdx2/Slc4a1/Plek/Itgb3/P2rx1/F2rl2/Dmtn/Pros1/Treml1/Jak2/Fermt3/Ptprj/Pdgfa/Serpine2/F5/Selp/Prkcq/Gnas/Anxa5/P2ry1/Pear1/Pf4/Gp9/Cd9/Gata1/F8/Fundc2/F10/Ubash3b/Pik3cb/Tspan8/Hpse/P2ry12/Rap2b/F11r/F13a1/Ptger3/Thbs1/Lyn/Sh2b3/Gp5/F2r/F2rl3/Gp1ba/Gp1bb/Prkca/Prkg1/Mmrn1/Pla2g4a/Abat/Fcer1g/Ppia/Mpig6b/Gp6",57,"Down"
"GO:00508171","GO:0050817","coagulation","57/2130","125/11776",1.07734309458447e-12,1.41886085556775e-09,1.25793981859771e-09,"Alox12/Vwf/Cd36/Prdx2/Slc4a1/Plek/Itgb3/P2rx1/F2rl2/Dmtn/Pros1/Treml1/Jak2/Fermt3/Ptprj/Pdgfa/Serpine2/F5/Selp/Prkcq/Gnas/Anxa5/P2ry1/Pear1/Pf4/Gp9/Cd9/Gata1/F8/Fundc2/F10/Ubash3b/Pik3cb/Tspan8/Hpse/P2ry12/Rap2b/F11r/F13a1/Ptger3/Thbs1/Lyn/Sh2b3/Gp5/F2r/F2rl3/Gp1ba/Gp1bb/Prkca/Prkg1/Mmrn1/Pla2g4a/Abat/Fcer1g/Ppia/Mpig6b/Gp6",57,"Down"
"GO:00420601","GO:0042060","wound healing","91/2130","251/11776",4.03325055192884e-12,4.24943278151222e-09,3.76748056819121e-09,"Alox12/Chmp1a/Vwf/Tgfb1/Cd36/Aqp1/Cnn2/Prdx2/Slc4a1/Gata2/Plek/Itgb3/Pecam1/P2rx1/Myh10/F2rl2/Dmtn/Myh9/Ptk2/Mylk/Pros1/Treml1/Jak2/Fermt3/Ptprj/Cd151/Itgb1/Pdgfa/Serpine2/F5/Selp/Prkcq/Gnas/Anxa5/P2ry1/Pdcd10/Pear1/B4galt1/Chmp5/Pf4/Gp9/Arl8b/Cd9/Gata1/F8/Fundc2/Sytl4/Flna/F10/Ubash3b/Tpm1/Pik3cb/Chmp2a/Tspan8/Hpse/P2ry12/Rap2b/Smpd1/F11r/Chmp4b/Nlrp6/F13a1/Ptger3/Thbs1/Fgfr1op2/Lyn/Mustn1/Sh2b3/Gp5/F2r/Ndnf/F2rl3/Gp1ba/Gp1bb/Prkca/Prkg1/Yap1/Mmrn1/Pla2g4a/Abat/Fcer1g/Prcp/Serpinb2/Actg1/Kdr/Gpx1/Syt11/Ppia/Mpig6b/Gp6/Chmp1b",91,"Down"
"GO:00105431","GO:0010543","regulation of platelet activation","26/2130","40/11776",7.14640421935979e-11,6.2745429045979e-08,5.56291149496481e-08,"Alox12/Plek/Dmtn/Jak2/Ptprj/Pdgfa/Serpine2/Selp/Prkcq/Gp9/Cd9/Fundc2/Ubash3b/F11r/Ptger3/Lyn/Sh2b3/Gp5/Gp1ba/Gp1bb/Prkca/Prkg1/Mmrn1/Pla2g4a/Abat/Fcer1g",26,"Down"
"GO:00096111","GO:0009611","response to wounding","104/2130","327/11776",8.80916141604033e-10,6.62952319138578e-07,5.87763145909337e-07,"Alox12/Chmp1a/Vwf/Tgfb1/Cd36/Aqp1/Cnn2/Prdx2/Slc4a1/Sod2/Gata2/Plek/Rtn4/Fkbp1b/Itgb3/Pecam1/Itgb4/P2rx1/Myh10/Gfap/F2rl2/Ndufs4/Dmtn/Myh9/Ptk2/Mylk/Pros1/Sod1/Trem2/Treml1/Jak2/Fermt3/Ptprj/Cd151/Itgb1/Pdgfa/Serpine2/F5/Selp/Prkcq/Gnas/Anxa5/P2ry1/Pdcd10/Pear1/B4galt1/Chmp5/Pf4/Gp9/Arl8b/Cd9/Gata1/F8/Fundc2/Sytl4/Flna/F10/Casp3/Ubash3b/Tpm1/Pik3cb/Chmp2a/Tspan8/Grn/Map2k2/Hpse/P2ry12/Rap2b/Smpd1/F11r/Chmp4b/Nlrp6/F13a1/Abhd2/Ptger3/Thbs1/Fgfr1op2/Lyn/Mustn1/Sh2b3/Cd24a/Gp5/F2r/Ndnf/F2rl3/Gp1ba/Gp1bb/Prkca/Prkg1/Yap1/Mmrn1/Pla2g4a/Abat/Fcer1g/Prcp/Serpinb2/Actg1/Kdr/Gpx1/Syt11/Ppia/Mpig6b/Gp6/Chmp1b",104,"Down"
"GO:00615151","GO:0061515","myeloid cell development","37/2130","78/11776",2.58935085673293e-09,1.58413758227914e-06,1.40447157666398e-06,"Slc4a1/Pabpc4/Atp6ap1/Dmtn/Pla2g10/Epb42/Rhag/Tjp2/Alas2/Pip4k2a/Fam210b/Src/Tspan2/Ptbp3/Rps6/Tal1/Rhd/Wasf2/Gp9/Gata1/G6pdx/Ank1/Abcb10/Trim58/Ninj1/Sh2b3/Ptpn11/Gp5/Zfpm1/Gp1ba/Gp1bb/Sox6/Tmod3/Hba-a2/Hba-a1/Mpig6b/Maea",37,"Down"
"GO:00508781","GO:0050878","regulation of body fluid levels","75/2130","216/11776",2.98716209698237e-09,1.58413758227914e-06,1.40447157666398e-06,"Alox12/Vwf/Cd36/Aqp1/Prdx2/Elovl1/Neurl1a/Cyba/Slc4a1/Plek/Itgb3/P2rx1/Slc6a3/F2rl2/Anxa7/Dmtn/Pros1/Adcy6/Treml1/Jak2/Fermt3/Ptprj/Pdgfa/Serpine2/F5/Selp/Prkcq/Gnas/Anxa5/P2ry1/Pear1/Pf4/Gp9/Cd9/Gata1/F8/Fundc2/F10/Map1lc3b/Ubash3b/Pik3cb/Gnai2/Trpc1/Tspan8/Wnk4/Hpse/P2ry12/Rap2b/Nme1/F11r/Nlrp6/F13a1/Ptger3/Thbs1/Lyn/Sh2b3/Wnk1/Gp5/F2r/F2rl3/Gp1ba/Vamp8/Gp1bb/Prkca/Prkg1/Kcnn4/Mmrn1/Pla2g4a/Abat/Fcer1g/Kalrn/Ccnd1/Ppia/Mpig6b/Gp6",75,"Down"
"GO:0042744","GO:0042744","hydrogen peroxide catabolic process","15/2130","18/11776",3.26938906540249e-09,1.58413758227914e-06,1.40447157666398e-06,"Prdx2/Hbq1a/Prdx5/Prdx3/Prdx4/Snca/Prdx6/Cat/Prdx1/Hbb-y/Hbb-bh1/Gpx1/Hba-a1/Hbq1b/Hbb-bt",15,"Down"
"GO:00067781","GO:0006778","porphyrin-containing compound metabolic process","23/2130","37/11776",3.30780436694582e-09,1.58413758227914e-06,1.40447157666398e-06,"Pgrmc1/Slc25a39/Snx3/Sptb/Tmem14c/Cpox/Fech/Alas2/Tmem14a/Abcb6/Spta1/Alad/Slc6a9/Urod/Eif2ak1/Uros/Abcb7/Ank1/Abcb10/Hmbs/Cyb5r4/Blvrb/Hebp1",23,"Down"
"GO:0070527","GO:0070527","platelet aggregation","25/2130","44/11776",9.4875025616923e-09,4.16501362458292e-06,3.69263586545866e-06,"Alox12/Plek/Itgb3/Dmtn/Jak2/Fermt3/Serpine2/Prkcq/Gnas/Pear1/Cd9/Gata1/Ubash3b/P2ry12/Rap2b/F11r/Ptger3/Lyn/Sh2b3/Gp1ba/Prkca/Prkg1/Mmrn1/Abat/Ppia",25,"Down"
"GO:0042743","GO:0042743","hydrogen peroxide metabolic process","21/2130","35/11776",3.94681882414303e-08,1.59937242812196e-05,1.41797855244718e-05,"Prdx2/Cyba/Sod2/Hbq1a/Acox1/Sod1/Prdx5/Prdx3/Prdx4/Snca/Prdx6/Cat/Prdx1/Pink1/Park7/Hbb-y/Hbb-bh1/Gpx1/Hba-a1/Hbq1b/Hbb-bt",21,"Down"
"GO:00067791","GO:0006779","porphyrin-containing compound biosynthetic process","19/2130","30/11776",5.10312095263216e-08,1.79221607856442e-05,1.58895071346168e-05,"Pgrmc1/Slc25a39/Snx3/Sptb/Tmem14c/Cpox/Fech/Alas2/Tmem14a/Abcb6/Spta1/Alad/Slc6a9/Urod/Uros/Abcb7/Ank1/Abcb10/Hmbs",19,"Down"
"GO:00330141","GO:0033014","tetrapyrrole biosynthetic process","19/2130","30/11776",5.10312095263216e-08,1.79221607856442e-05,1.58895071346168e-05,"Pgrmc1/Slc25a39/Snx3/Sptb/Tmem14c/Cpox/Fech/Alas2/Tmem14a/Abcb6/Spta1/Alad/Slc6a9/Urod/Uros/Abcb7/Ank1/Abcb10/Hmbs",19,"Down"
"GO:00488211","GO:0048821","erythrocyte development","22/2130","39/11776",8.83499166777861e-08,2.90892100661611e-05,2.5790038177588e-05,"Slc4a1/Dmtn/Pla2g10/Epb42/Rhag/Alas2/Fam210b/Ptbp3/Rps6/Tal1/Rhd/Gata1/G6pdx/Ank1/Abcb10/Trim58/Sh2b3/Sox6/Tmod3/Hba-a2/Hba-a1/Maea",22,"Down"
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","29/2130","61/11776",1.27358247406173e-07,3.94660733726895e-05,3.49900027084329e-05,"Alox12/Plek/Itgb3/Dmtn/Jak2/Tjp2/Fermt3/Serpine2/Prkcq/Gnas/Pear1/Cd9/Gata1/Ubash3b/Cd99l2/P2ry12/Rap2b/F11r/Ptger3/Lyn/Sh2b3/Cd24a/Gp1ba/Prkca/Prkg1/Mmrn1/Abat/Ank3/Ppia",29,"Down"
"GO:00341011","GO:0034101","erythrocyte homeostasis","50/2130","137/11776",2.21325587443502e-07,6.20399138509676e-05,5.50036162244222e-05,"Slc4a1/Gata2/Dyrk3/Tmem14c/Sfxn1/Dmtn/Rb1/Pla2g10/Epb42/Rhag/Tspo2/Fech/Rps14/Jak2/Alas2/Rps24/Smap1/Gfi1b/Fam210b/Ptbp3/Rps6/Prdx1/Tal1/Rhd/Add1/Gata1/G6pdx/Ank1/Casp3/Abcb10/Lmo2/Tcea1/Gas2l1/Isg15/Trim58/Ncapg2/Lyn/Sh2b3/Cd24a/Foxo3/Zfpm1/Sox6/Exoc6/Tmod3/B2m/Hba-a2/Hba-a1/Trim10/Mpig6b/Maea",50,"Down"
"GO:0042168","GO:0042168","heme metabolic process","19/2130","32/11776",2.23758231429078e-07,6.20399138509676e-05,5.50036162244222e-05,"Pgrmc1/Slc25a39/Snx3/Tmem14c/Cpox/Fech/Alas2/Tmem14a/Abcb6/Alad/Slc6a9/Urod/Uros/Abcb7/Abcb10/Hmbs/Cyb5r4/Blvrb/Hebp1",19,"Down"
"GO:00302181","GO:0030218","erythrocyte differentiation","47/2130","127/11776",3.15753392459048e-07,8.31694435737134e-05,7.37367264389894e-05,"Slc4a1/Gata2/Dyrk3/Tmem14c/Sfxn1/Dmtn/Rb1/Pla2g10/Epb42/Rhag/Tspo2/Fech/Rps14/Jak2/Alas2/Smap1/Gfi1b/Fam210b/Ptbp3/Rps6/Tal1/Rhd/Add1/Gata1/G6pdx/Ank1/Casp3/Abcb10/Lmo2/Tcea1/Gas2l1/Isg15/Trim58/Ncapg2/Lyn/Sh2b3/Foxo3/Zfpm1/Sox6/Exoc6/Tmod3/B2m/Hba-a2/Hba-a1/Trim10/Mpig6b/Maea",47,"Down"
"GO:1990748","GO:1990748","cellular detoxification","18/2130","30/11776",3.76006154485663e-07,9.12039026956661e-05,8.08599520962056e-05,"Cd36/Gstm5/Prdx2/Sod2/Esd/Sod1/Pim1/Abcb6/Prdx6/Cat/Prdx1/Akr1a1/Park7/Aldh2/Abcg2/Ccs/Aldh1a1/Selenot",18,"Down"
"GO:00021811","GO:0002181","cytoplasmic translation","37/2130","91/11776",3.8088190191812e-07,9.12039026956661e-05,8.08599520962056e-05,"Rpl8/Rplp1/Rpl19/Cpeb4/Eif5/Rps26/Rplp2/Zc3h15/Ybx1/Eif3i/Rpl6/Cnbp/Eif4ebp1/Pkm/Rpsa/Rps29/Eef2/Eif2s3x/Rps21/Cpeb3/Rps2/Rpl18a/Rpl29/Rps23/Rpl38/Rpl11/Rpl26/Rpl17/Rplp0/Rps28/Csde1/Rpl31/Rpl36a/Rpl39/Rpl41/Rbm4/Rpl24",37,"Down"
"GO:19907781","GO:1990778","protein localization to cell periphery","83/2130","276/11776",6.49303712189431e-07,0.000148718780687562,0.000131851742379154,"Ift20/Ramp2/Tspan33/Rac1/Tgfb1/Akt2/Rab11a/Tmbim1/Pgrmc1/Slc4a1/Bcl2l1/Snap47/Golga7/Pdzd11/Sqstm1/Abi3/Rab3d/Atp6ap1/Map7/Stx7/Sptbn1/Rab10/Dlg4/Sec23a/Pals1/Golph3/Gsk3b/Ap2m1/Adcy6/Bsg/Trem2/Myl12a/Ehd3/Prepl/Ehd1/Sorbs1/Arl3/Itgb1/Tspan17/Atp2b4/Optn/Snap23/Ehd4/Tnik/P2ry1/Ift80/Gpsm2/Rab13/Scp2/Tmem59/Epb41/Vamp3/Rer1/Tesc/Tmed2/Actb/Flna/Ank1/Atp2c1/Ramp1/Rab8b/Cd81/Tspan14/F11r/Cnst/Ppp1r9b/Picalm/Zdhhc2/S100a10/Golph3l/Pls1/Vamp8/Rap2a/Dlg2/Adam10/Fcer1g/Flot1/Kalrn/Rap1a/Ank3/Rhog/Prnp/Rab7",83,"Down"
"GO:00986551","GO:0098655","cation transmembrane transport","123/2130","455/11776",9.87348941063555e-07,0.00021672309256345,0.000192143300504342,"Tgfb1/Atp6v1f/Clcn3/Aqp1/Cyba/Mcu/Slc3a2/Atp6v0d1/Chp1/Atp6v0e/Atox1/Ywhah/Atp6ap1/Calm3/Micu1/Slc1a4/Vdac1/Rgs9/Fkbp1b/Itgb3/P2rx1/Atp2a3/Slc6a4/Ywhae/Cacna1g/Dlg4/Mcur1/Sfxn1/Dapk1/Glrx/Slc6a3/Pde4d/Rasgrf2/Ppif/Micu2/Smdt1/Shank3/Fhl1/Rhag/Trem2/Tspo2/Ehd3/Atp6v0c/Slc39a6/Bin1/Itgb1/Iscu/Snca/Sumo1/Abcb6/Dbi/Atp2b4/Stom/Slc43a1/Slc6a9/Rhd/Park7/Tesc/Nipsnap2/Ndufa4/Kel/Gp9/Stim1/Slc38a5/Flna/Abcb7/G6pdx/Plp1/Ank1/Slc25a4/Wwp2/Panx1/Trpc6/Ubash3b/Gnb5/Nedd4/Atp2c1/Tpcn1/Trpc1/Fkbp1a/Slc25a37/Htr2a/Wnk4/Slc24a5/Ibtk/P2ry12/Atp6v0a2/Ptpn3/Atp6v1g1/Akap7/Slc7a5/Ptger3/Slc39a11/Lyn/Reln/Kcna4/S100a1/Wnk1/Kcnk6/Cox17/Pkd1l1/Gp5/Kcna3/Arf1/F2r/Agtr1a/Orai1/F2rl3/Gp1ba/Gp1bb/Cacna1c/Slc39a1/Tmco1/Atp6v1a/1810037I17Rik/Kcnn4/Cfl1/Slc39a4/Slc24a3/Ank3/Prnp/Capn3/Rnasek",123,"Down"
"GO:00986621","GO:0098662","inorganic cation transmembrane transport","110/2130","397/11776",1.03842091769757e-06,0.000218816055777233,0.000193998888918911,"Tgfb1/Atp6v1f/Clcn3/Aqp1/Cyba/Mcu/Atp6v0d1/Chp1/Atp6v0e/Atox1/Ywhah/Atp6ap1/Calm3/Micu1/Vdac1/Rgs9/Fkbp1b/Itgb3/P2rx1/Atp2a3/Slc6a4/Ywhae/Cacna1g/Mcur1/Glrx/Slc6a3/Pde4d/Ppif/Micu2/Smdt1/Fhl1/Rhag/Trem2/Ehd3/Atp6v0c/Slc39a6/Bin1/Itgb1/Iscu/Snca/Sumo1/Abcb6/Dbi/Atp2b4/Stom/Slc6a9/Rhd/Park7/Tesc/Nipsnap2/Ndufa4/Kel/Gp9/Stim1/Flna/Abcb7/G6pdx/Plp1/Ank1/Slc25a4/Wwp2/Panx1/Trpc6/Ubash3b/Gnb5/Nedd4/Atp2c1/Tpcn1/Trpc1/Fkbp1a/Slc25a37/Htr2a/Wnk4/Slc24a5/Ibtk/P2ry12/Atp6v0a2/Ptpn3/Atp6v1g1/Akap7/Ptger3/Slc39a11/Lyn/Kcna4/S100a1/Wnk1/Kcnk6/Cox17/Pkd1l1/Gp5/Kcna3/Arf1/F2r/Agtr1a/Orai1/F2rl3/Gp1ba/Gp1bb/Cacna1c/Slc39a1/Tmco1/Atp6v1a/1810037I17Rik/Kcnn4/Slc39a4/Slc24a3/Ank3/Prnp/Capn3/Rnasek",110,"Down"
"GO:00726591","GO:0072659","protein localization to plasma membrane","72/2130","234/11776",1.39857141221557e-06,0.000283372084598139,0.000251233253279371,"Ift20/Ramp2/Tspan33/Rac1/Tgfb1/Akt2/Rab11a/Tmbim1/Pgrmc1/Slc4a1/Bcl2l1/Golga7/Sqstm1/Abi3/Rab3d/Atp6ap1/Map7/Stx7/Sptbn1/Rab10/Sec23a/Pals1/Golph3/Ap2m1/Adcy6/Bsg/Trem2/Myl12a/Ehd3/Prepl/Ehd1/Sorbs1/Itgb1/Tspan17/Atp2b4/Optn/Ehd4/Tnik/P2ry1/Rab13/Scp2/Tmem59/Vamp3/Rer1/Tesc/Tmed2/Actb/Flna/Ank1/Atp2c1/Ramp1/Rab8b/Cd81/Tspan14/F11r/Cnst/Ppp1r9b/Picalm/Zdhhc2/S100a10/Golph3l/Pls1/Vamp8/Rap2a/Fcer1g/Flot1/Kalrn/Rap1a/Ank3/Rhog/Prnp/Rab7",72,"Down"
"GO:0097237","GO:0097237","cellular response to toxic substance","19/2130","35/11776",1.49869690694721e-06,0.000292412418733256,0.000259248271973675,"Cd36/Gstm5/Prdx2/Sod2/Esd/Sod1/Pim1/Abcb6/Prdx6/Cat/Prdx1/Akr1a1/Pink1/Park7/Aldh2/Abcg2/Ccs/Aldh1a1/Selenot",19,"Down"
"GO:0010572","GO:0010572","positive regulation of platelet activation","9/2130","10/11776",1.71214971597013e-06,0.000307819427751451,0.0002729078849325,"Plek/Jak2/Ptprj/Selp/Gp9/Gp5/Gp1ba/Gp1bb/Pla2g4a",9,"Down"
"GO:0090330","GO:0090330","regulation of platelet aggregation","15/2130","24/11776",1.73905395040363e-06,0.000307819427751451,0.0002729078849325,"Alox12/Dmtn/Jak2/Serpine2/Prkcq/Cd9/Ubash3b/F11r/Ptger3/Lyn/Sh2b3/Prkca/Prkg1/Mmrn1/Abat",15,"Down"
"GO:00068971","GO:0006897","endocytosis","110/2130","401/11776",1.75295801680781e-06,0.000307819427751451,0.0002729078849325,"Itgb2/Rab5b/Ramp2/Rac1/Cd36/Bicd1/Clcn3/Cdc42/Bcl2l1/Ap2s1/Tsg101/Gata2/Itga2/Pacsin2/Rab5a/Slc2a4/Arrb1/Rab5c/Rab21/Canx/Itgb3/Dlg4/Ston2/Mctp1/Scamp1/Ap3m1/Clu/Angpt1/Myh9/Dnm1l/Tfrc/Ap2m1/Itsn1/Ache/Trem2/Ehd3/Ralbp1/Bin1/Rab27b/Ehd1/Ifitm3/Cd151/Itgb1/Snca/Smap1/Mrc1/Gapvd1/Gsn/Ehd4/Rab22a/Ptpn1/Src/Pear1/Sdcbp/Eps15/Cap1/Wasf2/Necap2/Add1/Actb/Cd9/Cttn/Ophn1/Nedd4/Pik3cb/Marchf3/Tpcn1/Myo6/Ppp3r1/Ramp1/Bmp2k/Grn/Xkr6/Becn1/Epn1/Smpd1/Nme1/Cd81/Snx10/Picalm/Ptger3/Thbs1/Scamp5/Ankrd13a/Rhoj/Cd24a/Arf1/Ubqln2/Vamp8/Prkca/Ceacam2/Actn4/Usp46/Cd47/Fcer1g/Calcrl/Flot1/Grb2/Arrb2/B2m/Sphk1/Actg1/Mapk3/Mapk1/Sort1/Syt11/Rhog/Marchf2/Rnasek/Bin2",110,"Down"
"GO:00995361","GO:0099536","synaptic signaling","118/2130","438/11776",1.97341728565447e-06,0.000335353621317025,0.000297319269828486,"Rac1/Prkar2b/Homer3/Clcn3/Rab11a/Prkaca/Napa/Crkl/Neurl1a/Ctnnb1/Bcl2l1/Vdac3/Bcr/Snap47/Pdzd11/Sqstm1/Pacsin2/Mpp2/Rab5a/Gipc1/Stxbp5/Srgn/Adarb1/Tpgs1/Vdac1/P2rx1/Slc6a4/Cacna1g/Dlg4/Gfap/Ston2/Trim9/Mctp1/Slc6a3/Rasgrf2/Syngr1/Ptk2/Shank3/Snap29/Dnm1l/Gsk3b/Kpna1/Ache/Prepl/Dtna/Csnk2b/Jak2/Sorbs1/Itgb1/Snca/Stau2/Serpine2/Dbi/Glul/Map1a/Snap23/Car2/Src/P2ry1/Gucy1b1/Eif4e/Sdcbp/Slc6a9/Pink1/Park7/Stx2/Ezh2/Rgs10/Ophn1/Syap1/Nedd4/Nptn/Gnai2/Mgll/Myo6/Nrxn2/Gucy1a1/Ppp3r1/Htr2a/Kiss1r/Paip2/Plcl2/Ppp1r9b/Akap7/Daglb/Stx11/Zdhhc2/Cpeb3/Rnf10/Reln/Tubb2b/Cd24a/Usp14/Arf1/F2r/Prkca/Cacna1c/Ywhag/Dlg2/Rap1b/Nrgn/Usp46/Kcmf1/Cfl1/Abat/Syn3/Flot1/Arrb2/Dlgap4/Kalrn/Sphk1/Kdr/Ica1/Mapk1/Rap1a/Septin5/Ly6g6d/Prnp",118,"Down"
"GO:00606271","GO:0060627","regulation of vesicle-mediated transport","119/2130","443/11776",2.08877524403269e-06,0.000343864624548882,0.000304864992032009,"Fer/Itgb2/Septin1/Rab5b/Lgals9/Tgfb1/Cd36/Bicd1/Akt2/Cnn2/Rab11a/Cyba/Cdc42/Bcl2l1/Bcr/Tsg101/Gata2/Slamf1/Itga2/Pacsin2/Rab5a/Arrb1/Rab3d/Rab5c/Gipc1/Stxbp5/Snx3/Rab21/Sar1b/Rab10/Itgb3/P2rx1/Rph3al/Cacna1g/Dlg4/Ston2/Trim9/Lman2/Glrx/Mctp1/Clu/Angpt1/Ptk2/Snap29/Dnm1l/Gsk3b/Ap2m1/Pros1/Itsn1/Sod1/Trem2/Prepl/Bin1/Rab27b/Ehd1/Dennd10/Ptprj/Cd151/Itgb1/Snca/Smap1/Septin2/Syt13/Snap23/Ehd4/Ptpn1/Src/P2ry1/Rab13/Sdcbp/Add1/Gata1/Ophn1/Sytl4/Lamp1/Nedd4/Pdcd6ip/Gnai2/Atp2c1/Myo6/Chmp2a/Ppp3r1/Bmp2k/Htr2a/Map2k2/Eipr1/Rab8b/Smpd1/Sh3glb1/Cd84/Cnst/Picalm/Zdhhc2/Scamp5/Ankrd13a/Lyn/Arf1/Ubqln2/Vamp8/Prkca/Rap1b/Actn4/Usp46/Cd47/Pla2g4a/Prtn3/Unc13d/Fcer1g/Flot1/Arrb2/B2m/Sphk1/Mapk3/Mapk1/Rap1a/Syt11/Septin5/Rab11b/Rab7",119,"Down"
"GO:00726571","GO:0072657","protein localization to membrane","121/2130","455/11776",2.95323874547959e-06,0.000471444294278378,0.000417975129623379,"Itgb2/Ift20/Ramp2/Tspan33/Zdhhc4/Rac1/Tgfb1/Abhd17a/Pex19/Akt2/Bid/Rab11a/Sgta/Crkl/Tmbim1/Arpc2/Pgrmc1/Slc4a1/Bcl2l1/Emc10/Srp14/Snap47/Gdi1/Golga7/Pdzd11/Sqstm1/Abi3/Fis1/Rab3d/Atp6ap1/Map7/Stx7/Sptbn1/Rab10/Dlg4/Sec23a/Pals1/Dmtn/Golph3/Tomm22/Shank3/Gsk3b/Ap2m1/Adcy6/Bsg/Trem2/Myl12a/Ehd3/Prepl/Cript/Ehd1/Sorbs1/Arl3/Itgb1/Tspan17/Tram1/Mff/Atp2b4/Optn/Gsn/Stom/Snap23/Ehd4/Tnik/Sec62/P2ry1/Ift80/Ssr3/Rab13/Scp2/Tmem59/Vamp3/Rer1/Tesc/Tmed2/Actb/Emc3/Arl6ip1/Flna/Ank1/Emc8/Atp2c1/Nrxn2/Ramp1/Arl5a/Srp72/Rab8b/Sh3glb1/Cd81/Tspan14/Cpe/F11r/Chmp4b/Reep2/Cnst/Ppp1r9b/Picalm/Zdhhc2/S100a10/Reln/Golph3l/Cd24a/Pls1/Vamp8/Rap2a/Get3/Dlg2/Sec61b/Adam10/Emc7/Fcer1g/Flot1/Kalrn/Rap1a/Ank3/Rhog/Rab11b/Sec61g/Prnp/Capn3/Rab7",121,"Down"
"GO:00330131","GO:0033013","tetrapyrrole metabolic process","23/2130","49/11776",3.3457311768903e-06,0.000518391524701709,0.000459597809035983,"Pgrmc1/Slc25a39/Snx3/Sptb/Tmem14c/Cpox/Fech/Alas2/Tmem14a/Abcb6/Spta1/Alad/Slc6a9/Urod/Eif2ak1/Uros/Abcb7/Ank1/Abcb10/Hmbs/Cyb5r4/Blvrb/Hebp1",23,"Down"
"GO:0006783","GO:0006783","heme biosynthetic process","15/2130","25/11776",3.61985654284102e-06,0.0005448401219339,0.00048304672122062,"Pgrmc1/Slc25a39/Snx3/Tmem14c/Cpox/Fech/Alas2/Tmem14a/Alad/Slc6a9/Urod/Uros/Abcb7/Abcb10/Hmbs",15,"Down"
"GO:00986601","GO:0098660","inorganic ion transmembrane transport","113/2130","421/11776",3.9319933979421e-06,0.000575381700565527,0.000510124406627752,"Tgfb1/Atp6v1f/Clcn3/Aqp1/Cyba/Mcu/Atp6v0d1/Chp1/Atp6v0e/Atox1/Ywhah/Atp6ap1/Calm3/Micu1/Vdac1/Rgs9/Fkbp1b/Itgb3/P2rx1/Atp2a3/Slc6a4/Ywhae/Cacna1g/Mcur1/Glrx/Slc6a3/Pde4d/Ppif/Micu2/Ank/Smdt1/Fhl1/Rhag/Trem2/Ehd3/Atp6v0c/Slc39a6/Bin1/Slc25a10/Itgb1/Iscu/Snca/Sumo1/Abcb6/Dbi/Atp2b4/Stom/Slc6a9/Rhd/Park7/Tesc/Nipsnap2/Ndufa4/Kel/Gp9/Stim1/Flna/Abcb7/G6pdx/Plp1/Ank1/Slc25a4/Wwp2/Panx1/Trpc6/Ubash3b/Gnb5/Nedd4/Atp2c1/Tpcn1/Trpc1/Fkbp1a/Slc25a37/Htr2a/Wnk4/Slc24a5/Ibtk/P2ry12/Atp6v0a2/Ano2/Ptpn3/Atp6v1g1/Akap7/Ptger3/Slc39a11/Lyn/Kcna4/S100a1/Wnk1/Kcnk6/Cox17/Pkd1l1/Gp5/Kcna3/Arf1/F2r/Agtr1a/Orai1/F2rl3/Gp1ba/Gp1bb/Cacna1c/Slc39a1/Tmco1/Atp6v1a/1810037I17Rik/Kcnn4/Slc39a4/Slc24a3/Ank3/Prnp/Capn3/Rnasek",113,"Down"
"GO:0098754","GO:0098754","detoxification","19/2130","37/11776",4.50371750400624e-06,0.000641231994894726,0.000568506246522779,"Cd36/Gstm5/Prdx2/Sod2/Esd/Sod1/Pim1/Ralbp1/Abcb6/Prdx6/Cat/Prdx1/Akr1a1/Park7/Aldh2/Abcg2/Ccs/Aldh1a1/Selenot",19,"Down"
